,author,content,time
28948,洋观日本,日本速递因在福岛第一核电站海域参与过トモダチ作戦好朋友作战受核辐射的400名美国海军士兵集体起诉东京电力提倡零核电的原首相小泉纯一郎74访美15日和10名士兵见面听取健康受害情况流着泪说不能忽略他们,2016年05月19日 09:58
61182,孤烟暮蝉,韩国南部的济州道知事在国会开记招要求日本不得排核废水否则将联合所有持份者在日韩提起诉讼,2020-10-20 19:16
55055,nogizaka520,日本专家组建议将福岛核废水排入海遭渔业协会反对1月31日日本针对福岛核废水处理方法举行专家组会议在蒸发后排入大气和稀释后排入海洋两种方案中专家组认为后者有着更易实际操作的优点而地方渔业协会认为该方法会导致福岛渔业风评变差via时差视频L时差视频的微博视频收起全文d,2020-02-02 20:00
12719,舜禹2001,王天天Frax日本对于福岛核灾害是完全不负责任的任由带有核辐射的未处理水排向自然环境既不收集也不进行去辐射处理,2018年08月20日 15:21
24461,TcpvSTAR,核废水一样的国娱赶紧灭掉吧免得污染祖国的花草汪海林回复zYakamoz_z就可以得到共和国勋章了吧zYakamoz_z你是要毁了国娱啊汪海林是的,05月02日 22:18
57179,虚拟人有爱,这次新冠不是有些外网网民说应该找中国赔钱嘛毕竟耽误了霓虹奥运会我觉得应该赔如果确定来源于中国那同理H1N1的来源国也需要赔核泄漏导致的水污染的来源国也要赔只要不双标什么都好说,2020-03-12 11:25
52960,王哈哈爱科学,夏天时听切尔诺贝利的午夜MidnightinChernobylbyAdamHigginbotham惨绝人寰到我听了三分之二就无法继续年底放假我鼓起勇气把全书听完前半部分着重于前线人员和事件后边更多是调查和追责1986年4月25日是五一劳动节前夕乌克兰春暖花开的好季节午夜的爆炸改变了无数人的人生也改写了世界历史几十年以后的今天这场劫难好像已成历史实际上对于放射性物质来说几十年是非常短暂的时间放射性污染在未来的几百年都将是很严重的人类难题想到日本福岛核电站事故只是2011年的事情世界人民却完全不知道核污染与处理的具体情况2020年东京奥运会日本将迎来创纪录的外国访客人群熙来攘往跟1986年在乌克兰基辅街头五一庆祝的人群一样热闹开心对身处危险一无所知但是谁又不是随时处于危险中呢每个人每天最大的未知就是明天和死亡哪一个先来想太多是不行的收起全文d,2020-01-06 04:25
35545,Tralla,转发微博,2019-06-05 17:36
99298,王翀,派中国的精日去别说核泄漏了太平洋都能给你舔没了,2017-02-17
8518,博硕生物科技,福岛核电站数千员工甲状腺辐射超标患癌几率上升在日本福岛第一核电站事故中包括推测值在内甲状腺被辐射量超过100毫西弗的工作人员达2000人据悉100毫西弗被视为致癌可能性增大的数值这个数字是东电去年12月公布的受辐射人数的10多倍,2013年07月20日 17:28
31928,婕健,热点万象福岛核灾影响遍及全球每人多照一次X光2011年的日本福岛核灾事发至今已过去6年时间挪威研究团队最近发表报告指出这场核灾影响遍及全球福岛核电站事故使得地球上每个人受到的辐射剂量等同照一次X光事故释放的超八成辐射沉积到海洋和南北两极O研究称福岛核灾影响遍及全球,2017年05月07日 09:25
79035,照理说事,担心日本排核废水有人又开始囤盐最好的应对方法是什么呢照理说事2021426,2021-4-26
88482,某火星的法师学徒,不就77万吨嘛让安倍都喝了不就成了,2017-07-16
75884,大明湖底的咸鱼,VVVV买回来喝我不在乎要买回来搞浇灌我心疼啊,04-13
89343,心灵,这就是核电站为什么要建在海边了,05-04
59424,桃广雨,日本的货轮在印度洋上出了事几乎把毛里求斯给毁了可怜的毛里求斯总共就那么几个岛原本碧水蓝天阳光沙滩现在乌漆漆黏糊糊的一片不但当地人没了营生海生动物也全遭了殃而日本涉事的货轮公司又玩起了老一套鞠个躬对不起大海真受够列岛上这帮人了之前炸了福岛核电站也是一帮高管一边满嘴道歉一边闭着眼睛向太平洋放核辐射污水收起全文d,2020-08-14 14:19
58477,亲友大势趁早,把本拉登海葬受到日本核废水影响产生变异最终成为哥斯拉登美国官员说会把拉登烧了扔海里日本民众担心蔡徐坤2常州金坛市建筑技工学校,2020-06-16 16:19
46215,卍小尾巴卍,海贝斯引发日本多地洪水福岛核污染物被洪水冲走日本福岛县田村市13日称由台风海贝斯所引发的洪水将一批装有核辐射污染物的垃圾袋冲走进入附近河流这个临时存放地约存放着2667袋福岛核电站事故的辐射污染物目前已找回6袋仍无法确认流落在外的具体数量正在评估可能对环境造成的影响L时差视频的微博视频收起全文d,2019-10-14 08:36
73625,刘金玲,要求货到付款还要给个签收单,04-13
53346,用户6761713485,转发微博,2020-01-18 07:27
49027,猫suncat,转发,2019-11-03 17:17
8327,北京周报,推荐阅读日本福岛核事故使公众对核电的安全产生了担忧我国目前有17台核电机组在役28台核电机组在建在建规模占世界逾40我国对核事故的应急能力如何新修订的国家核应急预案有哪些亮点请看北京周报英文网封面专题EffortsonNuclearSafetyO网页链接,2013年07月16日 14:05
67286,成功励志馆,福岛青少年甲状腺癌发病率增118倍福岛核辐射持续发酵中网友说好的核污水可以饮用呢说好的首相辞职呢说好的天皇下台谢罪呢就日本这个鬼样子奥运会就应该取消去日本感染美国肺炎吃核辐射食品喝核污染水做化疗吗L央视网的微博视频,2020-11-27 15:05
61796,海光寺丞,日本福岛核污水入海排放或将持续30年据日媒报道由于福岛第一核电站中核污水储蓄罐即将装满日本政府近日考虑将大量储存的核污水排放入海这一设想在日本国内和周边国家引发反对声浪日本内阁会议将在10月底前正式决定把福岛核电站第一号机组核污水排入太平洋届时123万吨核污水将从2022年起向太平洋排放持续长达30年央视网快看L央视网快看的微博视频收起全文d,2020-10-21 21:11
38530,白羊彪,苏格兰核电站放射性污染瞒20天后公布引众怒6月27日苏格兰敦雷核电站总经理宣布因人为失误造成核电站放射性污染泄漏意外发生于6月7日工人立刻被从现场疏散当地部门即刻展开调查相关负责人称污染微不足道从未将民众置于险境之中但民众不接受这套说法世面欧洲军情L世面的秒拍视频收起全文d,2019-06-28 14:10
94872,一颗萝卜酸,掏出一沓钱比一下哪个多钱那你交点罚款吧哪个有钱哟,04-10
67589,辛丑ty1901,年薪可达70万深圳招聘大学教师砸高薪任重而道远教师队伍建设我爱你中国我和我的祖国成都大学党委书记毛洪涛我国单身成年人口24亿人阿斗转基因战争全民愚乐奶头乐理论美国发展史就是一部印第安人血泪史英国记者新书揭露美军污染太平洋美国在全球建了200多个生物实验室安倍说服特朗普要对抗中国日本福岛核污水可能损害人类dna日本欲将123万吨福岛核污水排入大海O年薪可达70万深圳招聘大学教师砸高薪收起全文d,2020-12-06 13:23
26375,haihangfen95,敲定核废水投海韩国做出惩罚日本渔业海鲜被当成垃圾_手机搜狐网O敲定核废水投海韩国做出惩罚日本渔业海鲜被当成垃圾2西宁,04月10日 22:35
52605,我钻进了漂流瓶1,可以码住,2019-12-26 21:38
9974,FM912太原综合广播,912微新闻东京电力称福岛核污水可能已抵达地下水层据日本共同社报道东京电力公司5日发布消息称在出现了约300吨核污水泄露问题的福岛第一核电站地上储罐附近从地下水检测出了活度为每升650贝克勒尔的发出β射线的放射性物质东电表示核污水有可能已经抵达地下水层O网页链接,2013年09月06日 11:51
36265,夜染啊啊啊,他们都是真英雄,2019-06-12 18:16
41805,言希凌,福岛核污染水排入海中是不得已日本环境大臣可能是唯一办法日本福岛第一核电站内存放含放射性物质氚的处理水将装满储水罐日本政府召开会议讨论处理方法但并未得出有效结论按照标准将污染水排入海水中作为一个方案也得到讨论但是由于福岛核辐射是的福岛渔业风评急剧下降此方案遭到渔民强烈反对9月10日日本环境大臣原田义昭接受采访时称考虑过各种方案将污染水排入海中可能是唯一的办法时差视频L时差视频的微博视频收起全文d,2019-09-10 19:35
42510,火月天蝎,福岛核电站污染水怎么办日本环境大臣排入太平洋稀释9月10日日本环境大臣原田义昭就福岛核电站污染水发表言论称考虑过很多方案除了下定决心排入太平洋稀释几乎没有其他选项2011年3月11日日本东北海域发生强烈地震并引发海啸导致福岛第一核电站发生灾难性核辐射泄漏为控制反应堆温度东京电力公司注入大量冷却水因而产生含有辐射物质的污染水目前污染水已超过100万吨储水罐的目标容量是137万吨将在2022年达到极限如果将污染水排入太平洋将遭到渔民的反对并且会激怒韩国等邻国对此日本内阁官房长官菅义伟表示这只是环境大臣的个人观点日本政府将在专家小组提交报告后做出最终处理决定全球眼NewsL全球眼News的秒拍视频福岛核电站污染水排入太平洋稀释收起全文d,2019-09-11 18:09
89920,panta,加州华人以后不能吃海鲜了,04-13
32915,花花汪酱,日本新闻阅读日韩关于核电站辐射区水产品进出口问题进行交涉韩国方面坚持禁止从日本福岛等8个县进口受核辐射污染的水产品日本方面要求韩国撤销进口禁令的主张也在WTO相关委员会上被驳回,2019-04-25 21:00
54009,蛋勒个蛋蛋蛋蛋蛋,福岛第一核电站的核废水处理方法政府的专家会议上表示排入海洋的方案更加可靠可实施报告书中提到的两种排放方法排入海洋和排入大气中认为排入海洋是有实际的经验的所以将会采用排入海洋的方法处理福岛第一核电站的核废水报告书通过的话政府会听取当地的自治体等的意见然后决定最终的处理方案趁大家还在被新型冠状病毒夺取关注力的时候给全世界的海洋里来点核废水染剂果然是亚洲之光看看视频就知道到底有多少罐有多少量的核废水了帮你们查了一下一个罐子10001200吨核电站内1000多个罐子目前已经超过100万吨还在增加日本福岛核污水或将排入太平洋L日本傻事的微博视频收起全文d,2020-01-31 21:14
6280,海员之家网,福岛附近鱼类所含放射物超标五千多倍东京电力公司28日发布消息从福岛第一核电站港湾内的大泷六线鱼体内检测出放射性铯浓度相当于日本一般食品放射性标准值的5100倍食用1千克受到如此污染的鱼相当于接受7至15次X光胸部透视该港湾入口处的海底已设置了高约2米的渔网O网页链接,2013年03月01日 00:28
57792,李大呆_,那么11区打算什么时候为核污染切腹谢罪呢,2020-03-30 11:50
68423,局座_星辰大海,日本政府把100万吨核污水排入太平洋,2021-01-14 19:54
100640,SherryOK,典型的没有好好看文章,04-10
96582,小丑皇,我觉得只要日本的美国爸爸说一个不字日本就不敢了重点是美国选择性无视,04-13
67864,牛科技网,新闻看点9年前的2011年日本遭遇了大地震导致福岛核电站崩溃由此直接导致了福岛核电站的核辐射泄漏即使是经过了九年的努力但目前福岛核电站附近仍然堆积了上百万吨的核废水就在此前日本官方已经宣布将O日本鼓励居民搬家至福岛核电站附近并给予200万的补贴,2020-12-17 11:54
85195,June lee,制成矿泉水专供日本人民饮用不是更好吗排向大海干什么,04-14
32162,罗妮zyzyyuan,在上海电气看着核岛模型倒是触类旁通闹明白了福岛核电站的事故机理在名古屋电气科学馆没有学到的东西,2017年07月18日 15:22
24740,承前书意,不知道今天在风车那看到的才知道虾姐请先示范你又开始作了日本要倒核废水晓得不承前书意蛊惑人心妖言惑众你们就是生活不如意不希望别人好损人不利己,05月02日 21:24
12785,大大大大发888,好看视频天天现金领不停日本福岛核电站依然没进展排放的水仍旧含有放射性物质O网页链接,2018年08月21日 19:19
90173,清风拂过,大家快看这有个日本人,04-12
44103,沙雕牛肉干,转发微博,2019-09-18 23:50
1549,央财云城,史上今日财经大事记原子裂变成功1942年12月2日人类首次取得了受控制的原子核链式反应有人说这是人类释放了潘多拉魔盒原子裂变带来核武器同时也带来了清洁能源民众对核能利用争议不断今年的日本福岛核电站爆炸事故再次给人类敲响了警钟O网页链接整理财讯中国,2011年12月02日 15:38
54471,mark23desu,福岛第一核电站的核废水处理方法政府的专家会议上表示排入海洋的方案更加可靠可实施报告书中提到的两种排放方法排入海洋和排入大气中认为排入海洋是有实际的经验的所以将会采用排入海洋的方法处理福岛第一核电站的核废水报告书通过的话政府会听取当地的自治体等的意见然后决定最终的处理方案趁大家还在被新型冠状病毒夺取关注力的时候给全世界的海洋里来点核废水染剂果然是亚洲之光看看视频就知道到底有多少罐有多少量的核废水了帮你们查了一下一个罐子10001200吨核电站内1000多个罐子目前已经超过100万吨还在增加日本福岛核污水或将排入太平洋L日本傻事的微博视频收起全文d,2020-01-31 21:14
42355,以道援天下,福岛核电站污染水怎么办日本环境大臣排入太平洋稀释9月10日日本环境大臣原田义昭就福岛核电站污染水发表言论称考虑过很多方案除了下定决心排入太平洋稀释几乎没有其他选项2011年3月11日日本东北海域发生强烈地震并引发海啸导致福岛第一核电站发生灾难性核辐射泄漏为控制反应堆温度东京电力公司注入大量冷却水因而产生含有辐射物质的污染水目前污染水已超过100万吨储水罐的目标容量是137万吨将在2022年达到极限如果将污染水排入太平洋将遭到渔民的反对并且会激怒韩国等邻国对此日本内阁官房长官菅义伟表示这只是环境大臣的个人观点日本政府将在专家小组提交报告后做出最终处理决定L全球眼News的秒拍视频全球眼News收起全文d,2019-09-11 17:30
10999,国际能源网,日福岛第一核电站冻土遮水壁预计将使用6年据日本共同社10月30日报道日本经济产业省资源能源厅30日在原子能规制委员会的研究会上称东京电力福岛第一核电站冻土遮水壁在建成后预计将使用约6年冻土遮水壁用于防止地下水流入反应堆厂房控制污水的增加O网页链接,2013年10月31日 14:56
38995,宁儿妍妍,转发微博,2019-07-11 17:39
62426,锡林郭勒反邪教,10月后决定日本百万吨核污水或排入太平洋日本福岛核事故距今已有9年多时间截至今年9月日本福岛核电站已存约123万吨核污水预计2022年容量将达极限据日媒报道日本政府或于10月后决定污水是否排放入海具体时间尚未透露对此有研究机构表示若污水入海辐射57天即可扩散大半个太平洋更有环保组织警告污水中的辐射物恐影响人类DNA央视新闻L央视新闻的微博视频收起全文d,2020-10-26 11:08
69361,即兴幻想LZ,日本地震福岛核电站核燃料和核废水又泄露了六星连珠土天刑真不是盖的涉及核能赶紧打开星盘看一下冥王星状态跟月亮六分估计是通过这条路把六星连珠能量传导过来了海王星除了跟火星六分之外也还算安静希望事情可以得到很好地控制吧,2021-02-16 13:25
7114,315生活网,国际新闻日本研发出福岛核电站废炉作业除污机器人O网页链接,2013年04月03日 09:08
1655,时代报,日本东电公司计划明年向海中排放低放射性污水日本共同社报道日本东京电力公司今日表示计划2012年3月向海中排放福岛第一核电站储存的低放射性污水这些污水经放射性物质分离处理现在存放在厂区储水罐内但随着地下水的流入水量逐渐增加明年3月将超过储存容量上限httptcnSq8nKb,2011年12月08日 17:30
21824,霍格沃茨华东大区招生办,蕨代霜蛟没错完全一样的道理啊理论上可以做到无害不等于实际操作就能做到无害将来核废水装不下去的时候肯定会排届时不应该相信日本政府的理论验证而是国际社会必须一起严加管控每一批确认没问题之后再排说到底监管才是实践效果的保证于秋雨核废水疫苗等同理,05月20日 16:01
66616,看电影资讯,日本核污水入海220天可抵达韩国9日部分韩国民众来到首尔的日本大使馆外抗议日本政府将福岛核污水入海据韩媒报道研究表明日本如果将核污水排入大海220天之后被污染的海水将抵达济州岛400天后将到达韩国西海岸韩国外交部此前表示韩国政府已启动跨部门应对机制密切关注事态发展L央视网的微博视频收起全文d,2020-11-13 07:06
24634,非著名划水大艺术家,任豪没有人比R1SE更爱R1SE你说这话好意思不还是天天滚回去喝核废水吧,05月02日 21:59
67123,经世济民之道,真让日本排放了就是这个后果,2020-11-24 06:30
51281,毫无正面意义的意识形态斗争,神级专家核废料污染会有十万年一年7千万支出所以核能的维护费用是7兆我头都笑掉了台湾傻事,2019-12-02 20:52
98223,你皮任你皮,确实讨论问题不带数据只带情绪知乎与抖音何异,04-13
10174,海融黄金,股市表情看到海融贵金属的博文东京申奥成功料提振日本经济福岛核泄漏阴影犹存有感而发的评论O东京申奥成功料提振日本经济福岛核泄漏阴影犹存,2013年09月10日 09:28
3794,lylovejln,20年后的福岛核辐射量日本官方第一次发布20年后的福岛县核辐射预想量了在大熊町和双叶町的境界附近是20年后也住址被原则限制回乡困难区域年间辐照量50mSv年浪江町葛尾村住在限制区域50mSv20mSv年很可怜的,2012年04月22日 23:31
98058,senci2,西式自由太令人向往了,04-12
21960,Lindaccm,忽见陌头杨柳色_那依靠你依靠你的核废水,05月21日 22:07
4395,广州侨安投资顾问有限公司,美国移民優勢日本政府今天上午正式決定重新啟用關西電力公司大飯核電廠34號反應爐這是311東日本大地震福島核災後首次重新啟用停機維修中的核子反應爐關西電力表示已經在今天上午11時許台灣時間10時許巨龙出国集团移民快讯详情请留意O网页链接,2012年06月18日 19:26
42236,凤凰网财经,福岛核污染水快要无处安放日本环境大臣支持福岛核污水排放入海称别无他法10日针对日本福岛核电站大量核污水处理困难的问题日本环境大臣原田义昭在昨天举行的记者会上表态称目前来看除了将核污水排放入太平洋稀释外别无他法据日本经济产业省此前提供的数据截至今年年初福岛第一核电站院内共储存了大约112万吨含放射性氚的污染水这一数字还在以每年58万吨的速度增加而福岛第一核电站大院内污染水储水罐的建设目标容量是137万吨到2022年夏可能出现污染水存放空间不足的难题虽然日本原子能规制委员会强调将污水排入太平洋后放射性物质含量会被大大稀释从而达到安全标准但日本不少民众和渔业协会以及国际社会都表示担忧强烈反对日本政府把福岛核污水排放入海央视财经L央视财经的酷燃视频收起全文d,2019-09-11 15:32
60407,ssaanaass,那就祝他们的日常用水变成核废水吧,2020-10-16 10:08
51733,七夜想喝酸奶,书香商院打卡户外生存手册书香商院打卡1992043是一套以应对突发危险事件为题材的系列丛书旨在帮助读者安全顺利地度过险情生活中危险无处不在难免会有天灾人祸和野外危险发生野外探险时灰熊这类不速之客会探访你的帐篷或许你也会遇到持劫匪一百多年以来我们始终致力于搜集和研究应对危险情况的专业建议从海啸到劫车从葡萄牙军舰水母袭击到核泄漏事件的发生无论简单还是复杂常用还是急用它们都可以在某种情况下挽救你的生命2太原山西大学商务学院收起全文d,2019-12-20 17:21
93867,林海,像不像工作细胞black心梗了顶头上司鞠躬道歉一起等死吧结果要靠外部力量的介入才能拯救自己这已经是刻在日本人的DNA里面了,04-10
70520,沧州微播报,福岛核电站厂房上方发现严重污染据日本原子力规制委员会10日发布的调查报告福岛核电站2号3号机组厂房上方可能附着了7万万亿贝克勒尔的放射性物质污染程度远超预期厂房还有引发爆炸的可能目前核电站内还存有超120万吨的放射性污水威胁环境和居民的安全L央视新闻的微博视频,2021-03-11 09:47
86580,保标招标,这也是公布的数据那些私下排放的经由地下水排出去的估计已经不计其数了吧,2020-11-12
77772,苏紫兰SuZilan,美国人说我支持日本排放核废水,04-19
63579,脚骨哪儿去,口渴昌燎盼菡朝奉回过神来脸上满是欢喜日本百万吨核污水或排入太平洋,2020-10-27 23:49
51360,周小巧,所谓嫉妒其实就是用别人的成功来折创业课程石德胜创业磨自己这就是灌篮日本福岛55袋核污染物被水冲走,2019-12-04 23:45
70890,如果有如果9611,不喝个十年福岛核废水讲不出这么脑血栓的话,2021-03-11 15:51
60970,大葵葵的尾巴,当日本人和你说他给大家添麻烦的时候你千万不要觉得他谦虚客气有礼貌因为他会真的给大家添麻烦而且可能是很大的麻烦日本政府拟将福岛核污水排入海中,2020-10-20 09:46
79353,安吉尔ANGEL,饮用水可能受影响日本核废水入海影响有多大最近日本核废水事件闹的沸沸扬扬遭到了多国反对但是日本依然不顾反对坚持排污入海令安博士感到震惊的是日本的副首安吉尔ANGEL2021419,2021-4-19
52929,余黄昏,长江的洄游鱼因为水坝不能回上游产卵建设水坝是为了水电站修水电站是为了更多的电电不够也不在内陆修核电站因为民众阻挡的原因大于技术问题小区装个基站跟核泄漏一样又想到了黄河黄河前前后后断流了好几次了洄游鱼们估计在几十年前就团灭了而且壶口瀑布它也上不来啊鱼我太难了收起全文d,2020-01-03 17:17
72214,bigbird688,美副总统刚说水资源重要第二天日本就说要把核污水排放大概唉都沟通好了,2021-04-10 16:56
95697,咸鱼一条,鬼子发动地鸣了,04-14
17147,零度俳徊,这小丑还在蹦跶呢宅人毛她給这儿呢我还以为她瞎了东邪影视日本倒核废水它们就都装瞎装哑巴了是中国必须做出改变了永远别再理会这些杂碎的瞎BB,05月09日 11:23
62769,Mr_Seth,精日连日本排放核污水都能洗我真的是没想到啊,2020-10-26 14:55
51464,三湘都市报,奥运在即日本福岛现高辐射源近日日本福岛县的日本村体育馆周边发现了高水平辐射源体育馆上空的辐射水平是2011年福岛1号核电站事故前的1000多倍该体育馆正是2020年东京夏季奥运会火炬接力活动的起点早前由于担心2011年福岛核泄漏可能污染当地食材韩国将自带食材参加东京奥运东京奥运圣火传递起点辐射超标L小央视频的秒拍视频收起全文d,2019-12-06 13:00
93396,Glimmer Twilight,地球人是疯了吧我正在建造飞船有人一起嘛,04-14
67670,小鹿不知,由于疫情影响今年没有每年惯例在东蛋举办的杰尼斯跨年演唱会之前富士电视台表示正在和杰尼斯共同考虑别的企画今天FNS上正式官宣为特番日本中に元気をジャニーズカウントダウン20202021東京の街から歌でつながる生放送11组杰尼斯艺人将在东京的大街小巷进行表演节目MC是关8的村上信五出演组合为NEWS関ジャニKATTUNHeySayJUMPKisMyFt2SexyZoneABCZジャニーズWESTKingPrinceSixTONESSnowMan主题为歌で日本中を元気に收起全文d,2020-12-09 21:49
33593,蜘蛛任之助,比核泄漏更可怕的是谎言,2019-05-18 20:22
6640,我的威海,垃圾早上看新闻日本福岛的垃圾清理只完成三分之一核辐射区域垃圾清理更须谨慎我在想如果石岛湾核电站泄露那些喊着让我们以国家利益为重的核电支持者们对威海的核辐射灾民们又该是怎样的面孔我们会不会成为国人避之不及的危险垃圾胶东半岛的选址真英明一条封锁线就够了,2013年03月11日 09:22
30685,江西理工大学团委,三文鱼检测到放射性元素福岛核污染扩散至北美核辐射真可怕,2016年12月22日 18:11
21668,悟理学院,科普微博公开课悟理每日一答Q为什么日本不把核废水通过电解变成氢气和氧气A日本政府选择恶劣地把核废水直接排入太平洋就是为了省钱而抛弃了生态诚然短期来看这是最省钱的方式至少比电解要省钱的多那么电解核废水可行吗现时不可行这主要有两个原因首先电解水是一个能耗非常大的过程电解水生成氢气和氧气的过程效率在6080之间燃料电池来直接将氢气和氧气化合成水的效率一般在5070之间可见这一过程能量损失很严重整个过程的技术成本也很昂贵其次福岛核废水的主要污染物是放射性元素氚电解过程发生的化学反应并不会消除其放射性得到的氢气也是有放射性的氚气自然也无法利用现在来说最好的处理方式依然是将核废水封装后深埋这其中的花费当然也是很贵的但至少不会害人害己直接排入海洋是极其不负责任且不理智的悟理学院收起全文d,05月19日 10:01
21688,聂晓东孝子的野爹,请您多喝日本福岛核废水和多吃美国日本出口垃圾为美国日本国环保事业作贡献太阳cp3今年拿下双MVP,05月19日 08:28
13305,小科学家的记事本,游泳机器人在福岛探索失败的核反应堆科技L小科学家的记事本的秒拍视频,2018年09月11日 02:14
86079,知其白,这么一碗东西谁会拿起来喝啊也许戚家人都是猪头三啊那你喝啊你喝啊你的样子已经够猪头三了都不会喝戚家人怎么会喝,04-16
44144,火速头条,火速头条大阪市长同意核污水排入大阪湾只要经过科学处理就可以17日日本大阪市长松井一郎在接受采访时表示福岛核辐射污染水在经过科学处理后可排向大阪湾18日上午日本渔业联合会针对该市长的言论向日本水产课提交抗议书随后日本环境大臣小泉进次郎作出回应,2019-09-19 00:02
59106,大野智圈外女友,联合国人权专家揭日本趁疫情期间加速向海洋排放核废水2020年6月联合国人权专家表示有报道称日本政府和相关公司在没有进行有意义的磋商的情况下加快了向海洋排放放射性废水的时间表对此我们深表关切环境保护组织宣传片不要排放污染水来自福岛县渔业者们的怒声越来越多今年2月国家委员会製作的报告书表示东京电力公司福岛第一核电站事故后将含有氚等放射性物质的大量污染处理水排放到海洋之中是出於现实性的选择渔夫小野春雄先生说我的三个儿子都是渔夫要是大海变脏了我们可就麻烦了毛里求斯进入环境紧急状态日本旅游L霓虹傻事的微博视频收起全文d,2020-08-08 20:59
98816,知乎用户 (作者) ,评估可行性本来就要兼顾很多问题日本坚决没钱iaea也不能让事故处理停下来所以只能这样了也许有西方实力推动但总归问题的根源还是出在日本政府上,04-14
96174,追光者,看前面的部分卧槽气死了看最后一段卧槽正道的光,04-13
92088,含树求导,压水堆一回路中的水高压永远不变蒸汽要是一回变蒸汽了事就太大了,04-19
66422,我的mpacc,日本核污水入海220天可抵达韩国看来网友都不懂这个核污染的水排放进太平洋后无论如何都不会影响欧洲对美也无影响许多人哪水循环和洋流说事其实日本的核电站背后是私人企业且为欧美跨国金融集团控制而且日本频繁换手相就是被控制后想用频繁换人来实现一种抵抗可是无力对中韩的影响最大收起全文d,2020-11-12 14:17
91741,TimYan,好像是谴责,04-13
18983,豆乳米麻薯全球推广大使,买粉饼送的砍妹儿染唇液02这个颜色居然还挺好看的挺正的草莓红本来都想扔掉的不过以后在核废水被人喝完之前的东西怕是都不太敢用了,05月12日 15:19
16606,finni_瑞奇,叫了一整条烤鱼外卖好喜欢吃鱼吃各种鱼最近能约到人在核废水排放前再吃一次日料吗,05月09日 16:37
