,博主昵称,微博内容,发布时间
5411,铁西街反邪教,转发微博乌兰浩特政法美国56年间发起201场武装冲突中国人权研究会今天发表美国对外侵略战争造成严重人道主义灾难历数二战后美国发动的主要侵略战争指出美国一直自诩为山巅之城时常打着人道主义干涉的旗号对外动武,04月09日 15:10
5035,策勒V政务,坚决反对蓬佩奥涉疆反华言论任何污蔑都不能阻止我们团结奋进的脚步蓬佩奥郑国恩大肆诋毁中国新疆的人权发展状况丧心病狂地歪曲抹黑中国去极端化和打击恐怖主义的努力无端指责中国政府治疆政策蓄意抹黑新疆大好形势和各族人民的幸福生活严重伤害了新疆各族人民的感情对此我表示坚决反对和强烈谴责O网页链接收起全文d,04月08日 16:42
6582,wj0398,看中国美国的政治阴谋一切都是谎言和假象至于各种反华平台在网络上散布的所谓中国侵犯人权的报道中国的研究已经证明了都是假消息正是这个片段让我想到了美国拙劣的演技和政治阴谋O网页链接,04月14日 14:50
8037,琨硼,周有光说没有中国模式中国经济奇迹的原因没有什么特殊性与美国日本亚洲四小龙经济腾飞的原因是一样的本质不是什么低人权优势秦晖语而是高自由优势市场经济对外开放松绑了中国人民的手脚解放了生产力各路人马都在自由而残酷的市场竞争中各尽所能各展所长获得自己的回报经济腾飞只是自由的一个结果同理中国经济最大的危险也不是川普而是这种自由被权力侵蚀和剥夺市场经济的精髓是自由如果只看效率奴隶制也很有效率讲低人权优势我们东边邻居家也不见得创造了经济奇迹收起全文d,05月19日 12:35
316,暴风眼晕,呵呵贼亮讲真中国人讲人权时有个文化劣势除非逼急了不太喜欢罗列太血腥例子,2020年02月20日 23:07
7011,纯粹的趋势交易者,翻天覆地这不符合欧美的人权怎么能强迫中国人脱离水深火热呢,04月15日 10:51
7515,黄堡垒,太可怕了美国的人权公平正义公正平等自由民主与共享都在中国家门展示所以说治病医疗一定要抓紧全部免费公益了住房一定要抓紧全免费公益了交通运输费用全免费公益食品卫生安全要全面实现严控严管严抓有保障以及物价平稳不涨价彻底铲除根除剥削阶级以及反压迫L大成的商业世界观的快手视频收起全文d,05月05日 22:32
2953,乌审旗反邪教,是谁在坚持神化美国美国控制疫情比中国容易美国防疫尊重人权自由美国动用直升机送新冠肺炎患者去最好的医院,2020年12月17日 21:51
7380,-云翼垂天-,没有美好的世界只有美好的国家面对重大灾难美国政府为摆脱老龄化而挖万人坑印度喊着自由焚烧着人民的尸体只有中国政府真正的把人民放在心上事实告诉我们不存在美好的世界只有美好的国家这个时候再想起反华媒体通过二鬼子所说的那句中国要想消灭新冠病毒需要的不是疫苗不是药物而自由和民主及公知美狗所替美国政府造出来的180座战地医院35艘医院船这真是最生动的爱国主义教育什么是民主人民利益至上才是最大的民主什么是人权保护人民生命安全才是最大的人权什么是自由给人们安全让人民幸福安详的生活才是最大的自由收起全文d,04月24日 22:37
4512,OK_earthman_attention_Yeah,世界人权宣言纽约上万人参加反歧视亚裔抗议活动亚洲人什么游行都不如提高自己为人类的贡献提高身份名望赢得世界的尊重是最好的安全日本人中国人为美国的日本后代华人机会就在眼前现在北京2美国西点军校2北京美国驻华大使馆不说假话只谈真实的钱不卖思想不卖文化只卖知识时间已见证中国大陆军官公司老板心态说就说明白那么明白迟早会明白全球学生书上见现不想用钱买我没钱吃饭了总的有人买不要说狗话骗人忽悠讲现实来现的美国使领馆工作人员荣誉责任世界全球学生书上见现我是来现的价格也便宜也可以公司买买到就是赚到OkearthmanattentionHiCallmeKeaseePan签署潘其熙地球没有围绕着太阳转的科学发现777万USD可买到全球学生书上见现事实一点就明白的不会超时代1地球没有绕太阳公转地球永远在太阳和北极星之间事实求是只是把发现的事实简单地表达出来不含主观猜想2009问世地球上看已完成的发现地球上每天白天看到太阳每天晩上北半球可以看到北极星表示地球永远在太阳和北极星之间地球绕太阳公转的说法是错的太阳恒星永远的白天地球行星随地球怎么转永远的晚上北极星恒星注网上查北半球每天晚上可看到北极星表示地球是以太阳为中心但地球没有绕太阳公转同步1地球以太阳为中心一年来回摆旋一次南北极极昼极夜见证2地球大体以北极为中心逆时针可能一年旋转一圈同时一天旋转一圈总之一句话北半球看到的北极星北斗七星的位置变化在亚洲北美洲欧洲看到的位置变化同步判断可以更好判断好像很梦幻的南半球南十字星又是怎样变化我没钱没时间总之非常简单的一句北极星北斗七星南半球看到的南十字星和太阳与大阳背后的恒星图案都是相对固定的恒星所看到的都是站在地球上跟着地球的运动视觉结果3地球北南线为轴心向东方向每天自转一圈以上每一句都是真实的我的钱Mobile18320962498微信同步QQ715891710收起全文d,04月05日 11:30
2235,-葱花-香菜-,宁夏政法中国再次当选联合国人权理事会成员10月13日中国在第75届联合国大会上再次成功当选联合国人权理事会成员任期为2021年至2023年中国对广大会员国的支持表示衷心感谢对同期当选的其他成员表示热烈祝贺,2020年10月14日 23:39
6972,V海-风V,演变成什么将来会说这位大明星是人权主义斗士国际环保主义斗士却被中国政府无情打压核废水处理不好是中国政府的责任,04月15日 13:11
2233,予--人,外交部美国站在国际社会的对立面没有资格对人权理事会选举指手画脚环球时报环球网报道记者张卉美国国务卿蓬佩奥当地时间13日就中国俄罗斯和古巴入选联合国人权理事会发表声明谴责该组织拥抱威权政权并表示这一事件进一步证明特朗普政府让美O网页链接,2020年10月14日 23:52
3069,明道投资003,文明治理未来社会的基础理念应该是什么呢我觉得应该也是三个生态人生态权复杂性科学对应前科学时代的理性人人权还原论科学生态人生态权和复杂性科学的概念也是西方科学家早就提出来的只是还没有把三者系统的结合起来中国一些有理工科背景的国学学者最近20年也在做类似的工作提出了生生伦理生态经济学的概念应该说中西最顶尖对此基本达成了共识概括的来说这个研究的方向就是把生命科学的基础问题和社会问题联系起来我读了很多这方面的书应该说这就是未来的方向今天中国社会和西方社会争吵的很多问题都可以通过这一套理论获得比较完美的解释收起全文d,2020年12月28日 23:32
6558,潍坊高新传媒,哗众取宠日本果汁企业宣布抵制新疆西红柿中国西红柿产量占全世界的35其中新疆有强劲的日照以及较大的日夜温差提供西红柿良好的种植环境然而日媒日本经济新闻于当地时间4月14日表示著名的食品厂商可果美公司于4月13日宣布将于2021年底前停止从新疆进口西红柿据悉可果美公司表示除了成本和产品质量外人权问题成为决策因素之一可果美的此一举动可能会对日本的其他企业产生影响效果据悉新疆一直作为优质西红柿的产地可果美过去从该地进口糊状加工制品作为其西红柿酱的调味料但可果美不断的减少从新疆输入原料在2020年便停止了进口环球网简评没什么好说的四个字表达态度滚出中国顺便鉴于福岛地区自古都是日本重要的蔬果类农业种植地所以强烈建议该日本果汁支持国货用福岛的变异带辐射西红柿来制作果汁收起全文d,04月14日 16:40
1580,渝中发布,多国政党政要支持中国维护香港繁荣稳定央视网消息近日世界多国政党政要致电致函中共中央对外联络部反对美国通过所谓香港自治法案支持中国推进香港特别行政区国家安全立法维护国家主权安全发展利益尼日尔争取民主和社会主义党主席巴祖姆表示中国在香港实施国家安全法是中国内政其他国家无权干涉长期以来某些国家频频以维护人权民主自由为由干涉他国内政却对自身存在的问题视而不见尼日尔支持中国依据国家宪法和香港基本法推进香港国安立法O网页链接收起全文d,2020年07月30日 23:44
4769,眼里一片海o,长期以来美国一边自欺欺人标榜自己是所谓的人权楷模一边肆无忌惮在人权问题上玩弄双重标准将人权作为维护自身霸权的工具我们奉劝美方放下傲慢与偏见正视检视自身存在的严重人权问题并采取切实措施加以改进而不是对别的国家指手画脚说三道四外交部发言人办公室官方发布中国外交政策权威阐释中国立场态度赵立坚细数美国侵犯人权五宗罪O赵立坚细数美国侵犯人权五宗罪收起全文d,04月07日 21:27
659,青年轩,世卫组织称美国可能成全球疫情震中这就是很多国人向往的国外的自由疫情面前你们向往的自由是残酷的中国疫情期间没有见过存在暴力强制行为恰好温暖关怀疫情人权还是要有的L青年轩的微博视频,2020年03月24日 23:24
5779,邱永峥-天溯智库月满西楼,近日一名土耳其首都安卡拉的市政工作人员在推上发布了一张挖洞照这个洞在哪里呢就在中国大使馆门口这人阴阳怪气地表示在检测水资源是否遭人盗用意思是中国大使馆还在偷你土耳其的自来水了不要FACE的这人还揶揄称中国使馆本月可能不必支付水费暗示将对大使馆断水随后这种断水暗示被予以证实安卡拉水务管理局副局长针对关于维修和供水问题表示我们感谢所有理解我们给中国大使馆造成了临时不便的人我们的目的是发现水流失和渗漏的源头在水源迅速减少期间安卡拉人民为此付出了代价是不是给库尔德人一些人道主义援助关注一下库尔德人权状况收起全文d,04月11日 16:55
1621,磊莫人,看到这篇推送惊觉什么都是虚假的只有生产力最真实最能让人安心这次疫情看明白最重要一点就是脱离了生产力的人权都是p俺们中国真的太厉害啦,2020年08月04日 23:46
6983,gsbnzyq,把我的一生奉献给人类我将首先考虑病人的健康和幸福我将尊重病人的自主权和尊严我要保持对人类生命的最大尊重我将继承医学职业的荣誉和崇高的传统我将分享我的医学知识造福患者和推动医疗进步我不会用我的医学知识去违反人权和公民自由即使受到威胁中国警方在线,04月15日 12:26
7197,哼781205啦,教授要好好的别被辣鸡迫害了韦一笑呵呵这位教授生气的地方就是他本以为是一个关于气候的采访主持人上来就开始聊中国人权这让这个教授感觉自己被人拿来当工具人要我我也不开心那我偏要说点相反的,04月16日 20:41
4358,用户6920408150,美国那些低收入者和流浪者以及那些新冠肺炎疫情感染者不知道是不是对中国有什么意见啊你看看美国军队对中国多好啊经常到中国家门口南海来为中国人保驾护航可是中国人一点点都不领情中国人还对美国人的人权说三道四美军真的是舍己为人的好同志啊这种毫不利己专门利人的国际主义精神中国人怎么就学不会呢假如美军改一改不这么对中国特别如此关心不常常到中国家门口来保驾护航美国人是不是不会有那么多流浪者和低收入者特别是美国有更多的钱和更多的精力把美国的新冠肺炎疫情解决好呢不知道美国拜登是不是真的有老年痴呆症啊难道拜登不是美国选民选出来的吗难道拜登傻到以外拜登是中国人选出来的可是拜登不是说美国的选举是俄罗斯左右的结果吗真的是好替美国选举拜登的选民不值啊可怜的美国人选举出来的政府关心中国比关心美国还要多的多中国人还不领情何苦呢美国在南海不依不饶跟中国叫板有这么几个动机吴士存观察者网O吴士存美国在南海不依不饶跟中国叫板有这么几个动机收起全文d,04月04日 09:16
960,泣泣再不见,因我母亲普通感冒去世为了指出是太原市太航医院的医疗责任我申请了医疗鉴定这个权利是国家赋予每个公民的医疗鉴定中太航医院对我指出的医疗责任无异议不知为何太原市卫健委在拖了1年7个月后竟然剥夺了我的医疗鉴定权它玩忽职守滥用职权人权被随意剥夺投诉渠道被堵死已无路可走某斌就直接找医生我只能选择网上寻求帮助我实名举报太原市卫健委权力寻租太原市太航医院就是权力的受益者我真诚希望监察纪检卫生系统的上级部门能来审查先查我举报是否属实不属实法办我如果查出太原市卫健委确实违法请对蛀虫别手软我的资料他们2方全有患者儿子李杰日期20199如果本人突然不发贴了那就是在无依法处理医疗纠纷前就被某部门控制自由了那就意味着我的自由人权被侵犯本人既然敢发就无惧后果因为所说全部属实不要总想搞死发现问题的受害者却放了那些制造矛盾违法行政单位南方法治报中国日报网中国新闻社中国新闻网香港是中国的香港香港永远是中国的一部分香港香港首例新型肺炎我也支持香港警察香港是中国香港香港无限期暂停来往武汉航班高铁守护香港香港机场离港口已全部关闭香港美食香港旅行真实的香港香港新闻香港留学香港工作香港研究生香港保险香港局势撑香港警察护香港安宁香港资讯香港延期香港汉奸香港约拍自制美食收起全文d,2020年05月04日 23:16
5299,向幸福出发彩票猫狗爱好者94451,拜登上台以后美国和日本在东亚地区对中国施压的力度越来越大除了借所谓人权问题干涉中国内政外美日近期又开始插手台湾问题据环球网4月7日报道今年3月美国防长奥斯汀与日本防卫相岸信夫会晤时达成了原则上的共识即在中国大陆与台湾之间发生冲突时两国将保持密切合作4月4日日本首相菅义伟又公然宣称台湾的和平与稳定是该地区的关键对日本和美国来说共同合作并使用威慑力量来制造一个环O网页链接2郑州收起全文d,04月09日 19:17
3173,长沙雨花区法官苏辉打人案,我爱你中国北京发布社会看点社会热点热点新闻老赵说事警长说事谈维权与人权长沙旅游社会看点香港央视快讯2020年初新型冠状病毒肆虐新年开始全国人民众志成城一致抗击新型肺炎保护全国人民的生命安全取得,01月07日 22:16
663,胡子少女的美梦,还是中国好圆滚滚的明月大魔王虫子没腿见人了庆云涟漪没敢点开看林海听涛我靠人间地狱重工组长于彦舒想想都可怕寒舞C说好的人权呢赵脱俗这场疫情扯掉了多少西方国家华丽的裙袍露出了里面满身的污垢,2020年03月25日 23:49
7881,用户6200951266,空手套白狼28国合伙打劫中国率先打响第一枪最近美国和欧盟开始休战而欧美之间友好全靠抹黑中国他们共同的目的都是遏制中国发展拜登以价值观拉拢欧盟围堵中国并以所谓的新疆人权问题联合打压中国之后美国和欧盟又开始勾连28国合伙打劫在5月17日美国和欧盟发表联合声明双方就达成金属关税临时休战协议达成共识并且着手讨论全球钢铁铝产能过剩问题这场争端起源于美国前任总统特朗普上任期间在特朗普的美国优先政策下美国对欧洲钢铁征收25的关税对铝征收10的关税随后欧盟对美国的出口产品进行报复性征税为了巩固欧美关系他们又强行甩锅给中国暗示是第三方的错联合声明中提到美欧在民主和市场经济等方面有共同利益可以提高标准解决问题并共同要求中国等支持贸易扭曲政策的国家承担责任为了赖上中国他们还发明了一个新词贸易扭曲政策还不如直接说商量好合伙打劫得了恰恰是美国几年来一直在搞贸易扭曲政策包括用政治打压华为中兴等中国企业问题的根源就在美国近期国内外大宗商品之所以涨价根本原因就是美国大量印刷的美元已经进入国际市场并泛滥尤其是美国用印刷的大量美元定向搜购中国的商品造成市场物资紧缺后必然涨价然后中国为了完成订单再向国际市场搜购原材料又加剧价格上涨华尔街拉高铁矿石的价格对中国输入通胀想空手套白狼欧洲也跟着起哄但是中国反倒先秀了一波自5月1日起取消部分钢铁产品出口退税将会让大部分钢材回流国内给铁矿石市场降温其实以前我们贸易地位不高出口退税很大程度补贴了欧美和原材料国取消钢铁产品出口退税是我们打出的第一枪欧美的制裁大棒将打到棉花上事实上打得赢就市场经济打不赢就政治打压是美国的常态美国一直宣扬所谓的自由贸易但是用经济外交军事等手段形成的权力并不是真正的自由贸易他们有竞争优势时就喊着自由一旦失去竞争力就搞保护主义壁垒甚至直接动用政治军事等手段逼迫竞争者就范现在美国甚至还把经济挂上民主的标签难道经济还分民主和不民主这也充分显示出西方已经山穷水尽只能用意识形态和价值观来打压中国经济上比不过就诉诸于政治军事手段西方强盗的做法自1840年以来就没变过中国走向世界并非我们想象的只有春暖花开更多的是暴风骤雨收起全文d,05月19日 21:12
3191,华人生活网,川普支持者闯国会中国官媒扯下美式民主遮羞布美国总统川普的支持者6日闯进国会中国官媒央视发表评论指川普为求翻盘不惜煽动群众暴力将美式民主的遮羞布撕干净参考消息则指事件给美国政客和全球跪美者上了一课美东时间6日川普DonaldTrump的支持者闯进美国国会山庄试图阻止参众两院联席会议认证拜登JoeBiden赢得美国总统大选截至发稿事件造成4人死亡有52人被捕央视发布的评论指川普不愿接受败选事实一系列堪称野蛮的动作为选举乱局推波助澜评论指这场由选举导致的暴乱由暴乱引发的悲剧让全世界瞠目结舌一向标榜民主人权的美国却成了暴乱冲突禁足的国度评论称这不仅是社会分化的民主闹剧也折射了美国民粹的制度化倾向和极端的种族以及阶层对立评论又说川普为了逆转战局滥权威胁选务人员滥诉选举舞弊又不惜通过煽动群众达成暴力已到了为追逐权力不择手段的地步将所谓的美式民主的遮羞布撕了个干干净净官媒新华社主办报导国际新闻的参考消息也表示这是自1814年英军占领华府后美国国会山庄首次被外界攻破报导形容这次勤王军攻陷国会的事件给3个群体上了一课首先是美国现在和未来的当政者这起事件并非完全出于某个政客煽动所致而是美国内部撕裂和社会矛盾的大爆发是美式民主失灵后酿成的苦果其次报导声称事件给热衷插手他国内政的美国政客上了一课指他们为达成不可告人的目的经常在世界各地煽动所谓最美的风景线将暴徒美化为民主人士如今最美的风景线在华府上演最后报导表示事件也给全世界的崇美以及跪美者上了一课指这些论调艳羡美式民主自由吹捧美国人权现状夸大美国制度的修复能力但事实上美国正一步一步走下神坛收起全文d,01月09日 23:37
3819,四川新闻网,历史交汇点上的世界期待多国人士关注中国两会世界意义O网页链接多国人士期待两会传递令人鼓舞的信息O网页链接两会召开在即外媒将为中国经济复苏指明方向O网页链接中国常驻联合国代表向联合国成员介绍中国扶贫经验O网页链接我们坚定了继续投资中国的信心O网页链接中欧地理标志协定生效带来哪些利好O网页链接钟南山对话福奇谈疫情防控全球合作O网页链接中国捐赠新冠疫苗运抵圭亚那O网页链接秘鲁总统公开接种第二剂中国疫苗与医务人员击拳致意O网页链接供水系统瘫痪居民叫苦美国冬季风暴后部分地区生活仍未恢复O网页链接多一点疫苗利他主义少一点疫苗民族主义O多一点疫苗利他主义少一点疫苗民族主义拿什么拯救美国种族主义这种病O网页链接外交部坚决反对美方以所谓人权问题为借口攻击中国治疆政策干涉中国内政O网页链接收起全文d,03月03日 21:59
6256,意气风发走进新世界,推特冻结中国驻悉尼总领馆账号美国人权灯塔随便冻一个官方号还没有理由多么皿煮自由,04月13日 17:03
3266,深深自在,是的中国公知不如狗既没狗的良心也没狗的智商无为李爷回复我4752淡定中国公知不如狗怎么会关心美国人的民主自由人权我4752但您不会得到公知们的支持更不会被资产阶级认可,01月17日 23:34
564,LOST_1203,只有中国最讲人权,2020年03月16日 23:57
4280,不做投掷空中的硬币777,挣着中国人的钱又砸了中国人的锅在某个疯魔的晚上掀了上帝的桌自己欠的血债栽赃雪白花朵他考第一肯定像我一样营私作弊4000多的AJ穿了三个月就裂开谁管质量好坏营销收割那些跟风崇拜经济要靠中国市场去年财报逆市上场有锅就让中国扛又当又立是状元郎只要损害了利益就是破坏所谓的自由毕竟是巨头人权的灯塔有些费油奴隶主人华盛顿和女王怎么能说出口高地都无法呼吸难道能容东方一股清流金发护士哭着拔管老人再自杀对岸众志成城诀别了小家白衣执甲德鲁伊冲进国会大厦武汉办樱花的趴这么绝么要当全世界面戳破你的谎话中国产棉世界第一新疆产棉中国第一解决了贫困又不靠你还要眼红我们的成绩想摧毁和平也不用打着人权大旗带你来看说把变形金刚当做努力挣着中国人的钱又砸了中国人的锅在某个疯魔的晚上掀了上帝的桌自己欠的血债栽赃雪白花朵他考第一肯定像我一样营私作弊从台湾到新疆从瑞士到香港走过一百年最清楚我从来没靠天象敌人围攻千万重我又怎能投降精忠报国是刻在我血液的徽章解开不平等的合约种下最干净的棉花新冠死亡五十五万加哪来资格居高临下BBC偏见叽叽喳喳还有多少刀光追杀请你接收东风快递看看谁是最后赢家歌曲你可荒谬李韵之收起全文d,04月04日 21:28
