,博主昵称,微博内容,发布时间
1138,slh168,中国在疫情中遭人恨的真正原因没有对比就没有伤害一场疫情让中国的诸多优势显现岀来于是西方国家羡慕忌妒恨五味杂陈比出了应对疫情的处理能力比出了防护设施的生产能力比出了方舱医院的建设能力比出了全体国民的执行能力比出了日常用品的供应能力比出了政治体制的协调能力比出了政府部门的领导能力比出了外交使臣的雄辩能力比出了国家元首的治国能力比出了国民素质的文明水平比出了医护人员的治疗水平比出了人权问题的重视水平比出了专业人员的奉献精神比出了革命军人的牺牲精神比出了援外医护的国际精神比出了地球一家的大国情怀总之处处把西方比了下去把两种社会制度的优劣比了出来西方国家多年的文化渗透和经济侵略功亏一篑着实遭人恨啊转发收起全文d,2020年05月24日 21:23
7286,怀拥星光踏长安,日本政府正式决定福岛核废水排海序诧异愤怒随后感觉不可不行动强权能令意见领袖们顾左右却压不弯我这根笔杆子随后我做出了决定从书包的夹层里取出了这张已不具备任何意义的申请书外国人日语演讲大会申请书一想到这是外务省和文化厅赞助的就叫人兴致全无出于环保不能浪费纸张不若作我笔杆子的草稿纸最近我听闻了一件让我震惊的事情日本要将核废水送进海里去有人告诉我不需要担心有政府的信用作担保有百年良心的企业亲自实操有国际组织的研究作证明但可笑的是告诉我这件事的人平日里恰恰嚷嚷着着政府不可信良心的企业正巧是将天灾变成人祸的祸首即使是那个被吹上天的国际组织却事实上从未这为这事拍着胸脯作保证只是娩转地说技术上可行呵多么悦耳技术上可行又有人找我争辩说各国都偷排排超排核冷却水这是国际共识是技术常识我不懂什么具体的核冷却水核废水我只知道儿时给茶壶降温杯子里的茶是热的把杯子放进盆子盆底注满水凉完了水是水茶是茶倘若杯子破了茶流进了盆子里那水就一定不是那水了我常在西方的文学里看到未来的世界一辐射到处是被污染的土地河流海洋但我从未想到这一切眨眼化作现实即使不为你我考虑也请为我们的下一代想想吧你也一定不希望我们的下一代生来就患上了之前从未有过的怪病再也吃不上海里的鱼再也不敢靠近那片曾经真诚的沙滩或是曾经身为万物之母的大海必须得有人去阻止这种无耻的行径那倒进海里的不是一桶桶废水而是一种种罪恶可往常那些最有良知的人却纷纷噤了声不论是自由之声还是人权卫士又或者是环保先锋通通对此三缄其口我原以为每个有良知的人都会就此发声你们即使没法从中拿到一分钱但你们得有良心啊中国人的良心们你们在哪作者不是我收起全文d,04月17日 23:13
7530,今日俄罗斯RT,新西兰拒绝指控中国对维吾尔族实行种族灭绝与西方盟国决裂新西兰议会对中国涉嫌对维吾尔族穆斯林的处理表示严重关切但政府拒绝将其称为种族灭绝这与五眼间谍网络伙伴的做法不同在周三的议会会议上新西兰政治家们一致支持一项议案即对中国侵犯维吾尔穆斯林人权的指控表示严重关切在总理杰辛达阿德恩的左翼工党确保议案中不提及北京对这一少数民族的种族灭绝行为的说法后该声明才得以获得议员们的支持而五眼情报联盟的三个成员即加拿大英国和美国已经直接声称中国对新疆维吾尔族的行为构成了种族灭绝但到目前为止澳大利亚和新西兰谨慎地拒绝走到这一步中国驻新西兰大使馆没有对议会通过的动议发表评论但此前中国政府强烈驳斥了对维吾尔族进行种族灭绝甚至虐待的说法收起全文d,05月06日 23:06
5036,北部湾在线,今日时政速递中国援助的新冠疫苗运抵萨尔瓦多O网页链接环球深观察丨在美国人权遭践踏的原住民还有他们O网页链接积重难返美国枪患长期难解枪击事件似乎已成常态O网页链接联合国人权理事会指控美国侵犯关岛土著人权外交部敦促美方正视问题O网页链接疫苗接种中的种族歧视美国少数族裔被忽视O网页链接美国多地枪击案数量激增枪支泛滥严重社会矛盾凸显O网页链接纳米比亚春苗行动顺利开展O网页链接狭隘的人权理念十足的霸权主义O网页链接哈萨克斯坦政党领导人中国减贫事业给地区发展带来了希望O网页链接国际锐评丨中国精准扶贫为人类减贫探出新路子O网页链接中国应对疫情的成绩有目共睹国际论坛O网页链接暗流涌动中国新疆反恐挑战引发国际舆论强烈关注O网页链接收起全文d,04月08日 16:29
4397,中国网,最闪亮的坐标O最闪亮的坐标初心长留天地间献给百年来奉献牺牲的中国共产党人O网页链接山河岁月永远记住你O山河岁月永远记住你MV永远记住你O网页链接非洲观察丨感谢中国成网络热词中国疫苗在埃塞俄比亚有多受欢迎O网页链接匈牙利药监部门确认已向国药新冠疫苗颁发GMP证书O网页链接总台记者探访菲律宾马尼拉市一疫苗接种中心中国疫苗广受好评O网页链接中国国药新冠疫苗运抵安曼O网页链接针对亚裔犯罪增长150纽约举行大规模反歧视亚裔抗议活动O网页链接一周蓝听丨西方谎言与中国真相持续较量相信眼见为实的力量O网页链接最新为烈士寻亲活动已找到22位烈士的亲属O网页链接联播鲜花朵朵祭先烈习近平敬献花篮深情缅怀英雄O联播鲜花朵朵祭先烈习近平敬献花篮深情缅怀英雄那兔清明特别版他们是为我而死O网页链接调查华裔教授陈刚案背后美国中国行动计划实为罪名化中国O调查华裔教授陈刚案背后美国中国行动计划实为罪名化中国中国人权事业的进步举世瞩目国际论坛O网页链接我在中国当大使约旦赞赏中国减贫经验O网页链接中国驻安哥拉大使馆启动在安同胞新冠疫苗接种工作O网页链接威尔克森我参与了一场愚弄美国人民和国际社会的骗局O威尔克森我参与了一场愚弄美国人民和国际社会的骗局我家有烈士这些故事打动了万千网友O网页链接新疆人民生活非常富足以色列短视频博主亲身体验新疆机械化种棉O网页链接不要把我们当透明纽约上万人游行抗议针对亚裔歧视及暴力httpappcctvcomspecialcportaldetailartiindexhtmlidArtiBmdi1sSDrb39aAkd1xwL210405fromappcctvnewsversion810allow_comment1allow_comment1马丁路德金你失望吗53年过去了你的梦想仍只是梦想httpappcctvcomspecialcportaldetailartiindexhtmlidArtiY03CoezK4A3UuuiZ46Qi210405fromappcctvnewsversion810allow_comment1allow_comment1美国大城市犯罪率不断上升去年杀人案件同比增加33httpappcctvcomspecialcportaldetailartiindexhtmlidArticYf1BoF7XZ5Fna6tCVgH210405fromappcctvnewsversion810allow_comment1allow_comment1春苗正式播种在斯里兰卡中国公民接种国产新冠疫苗httpappcctvcomspecialcportaldetailartiindexhtmlidArtiC48YhCbrrB7NuRZyMVRU210405fromappcctvnewsversion810allow_comment1allow_comment1收起全文d,04月05日 22:35
3508,在那山的那边河的那边有一我,人权没了VS人全没了中国外交官推荐这两篇O网页链接外媒还想兴风作浪真是够了,02月07日 23:24
6328,科技圣斗士,资本主义国家的人权自由环保呵呵那些公知死哪去了我在北京十几年亲眼见证北京雾霾越来越少环境越来越好回老家县城也越来越干净卫生那些说中国不够环保的西方国家是不是要先管管日本去日本这么不要脸中国的海鲜都受影响,04月13日 11:31
3812,婪俗,蒋劲夫曾因为殴打日本人被拘捕日媒爆出江宏杰语言暴力比较尊重人权的如果中国女人在家里受了欺负很难得到法律的保护,03月03日 23:15
1781,我们都是毕节人,钟南山谈抗疫说中国人的命最重要新冠疫情刚刚暴发钟南山便第一时间赶往武汉他敢医敢言提出该病存在人传人现象之后的武汉用整整76天换来了让全中国少感染至少70万人钟南山说我们跟有些国家很大的一个区别就是命最重要人的生命是第一宝贵的人的命是最重要的人权开学第一课L央视新闻的微博视频收起全文d,2020年09月02日 22:55
8418,红雨山林,家教与家暴棍棒底下出孝子难道绵延几千年从未中断过的中国文化是一个家教充斥着家暴的文化环境吗我们被西方的自由人权概念洗乱了思维老一代为儿女含辛茹苦少一代以尽孝道为负担这是中国引进西方先进技术的同时也被引入的新人权平等思想当人心里形成报恩可耻的印象时这个人其实已经是白眼狼了20210522六生活经验的总结_琥珀集hysl一事百思O网页链接收起全文d,05月22日 11:35
5520,自定义_hecs,17世纪一个国家靠着黑奴贸易完成资本原始积累实现之后的工业革命另一个国家靠着进口黑奴靠着奴役黑奴棉花种植园劳作也完成资本积累现在这两个国家居然臭不要脸地借着棉花来讨论中国的人权问题我去这是巧合吗2青岛,04月10日 17:11
4829,破折号,美国收到联合国人权指控函联合国针对美国种族主义通过决议美方却指责中国外媒公道发声今日热门L破折号的微博视频,04月07日 18:50
1498,求之不得_23420,盘子微谈央视美国贫困率居高不下近半美国家庭无法维持基本生活低收入群体面临饥饿威胁美国每年都有数百万人因交不起房租而被赶出住房,2020年07月15日 23:23
2987,是小五同学,太对了拉瓦铀这件事是假的可你敢说中国没有这样的事吗拿着钓鱼成果洋洋自得心里有没有对生命的一点点敬畏什么事都能拿来反转打脸难道中国政府封号禁言侵犯人权的消息全是编的一叶障目中国,2020年12月20日 22:02
666,对外传播观察,全球新冠肺炎报道当地时间25日上午柬埔寨首相洪森在与400多名抗疫医护志愿者座谈时表示之前中国武汉封城他们说这是中国侵犯人权现在他们自己封城却说这是采取防疫措施这就是赤裸裸的双标,2020年03月25日 23:37
5703,泣泣再不见,高考太原市卫健委宫殿元主任请站出来承担起自己的责任还公平于百姓法律对太原市卫健委宫殿元滥用职权的做法是这样解释的医疗事故处理条例第6章罚则第54条第三项未将应当进行医疗事故技术鉴定的重大医疗过失行为或者医疗事故争议移交医学会组织鉴定的依法给予降职或者撤职的行政处分因我母亲普通感冒去世为了指出是太原市太航医院的医疗责任我申请了医疗鉴定这个权利是法律赋予每个公民的医疗鉴定中太航医院和太原市卫健委对我指出是医院的医疗责任以及病历的缺失无异议但不知为何太原市卫健委在拖了1年7个月后已过法律时效同医院又一起否认当时我指出的医疗责任有内幕还剥夺了我的医疗鉴定权自此我丧失了可以定责医院的权利法律给公民解决医疗纠纷的渠道被野蛮堵死太原市卫健委由执法者变为违法者法律被他踩于脚下我人权被剥夺投诉渠道被堵死已无路可走我只能选择网上寻求帮助我实名举报太原市卫健委宫殿元权力寻租太原市太航医院就是权力的受益者我真诚希望监察纪检卫生系统的上级部门能来审查先查我举报是否属实不属实法办我如果查出太原市卫健委宫殿元确实违法请别手软我的资料他们2方全有患者儿子李杰日期20184太原市小店区人民法院对我起诉太航医院已做出判决太原市太航医院在对李杰母亲的治疗中负有不可推卸的医疗责任这也侧面说明太原市卫健委宫殿元包庇太航医院的行为是违规的中国人权观察中国接受联合国人权审查中国人权比美国号五倍人权文明城市遇见最美城市46城喜提垃圾分类重点城市创建全国文明城市社会社会新闻社会百态社会主义核心价值观这就是中国军人关注民生民生民事社会创建文明城市文明创建安全文明出行创建全国文明城区太原市创建全国文明城市世界人权日国际人权日世界人权宣言自由民主中国人权老百姓人民群众美国的人权之下新冠肺炎疫情凸显美式人权危机中国人权研究会发文评美式人权中国人权研究会发文揭美式人权危机联合国人权理事会为了公平正义世界人权宣言收起全文d,04月11日 22:24
1083,张俊闲中文化风向标国际,张俊闲中国风向标国际张俊闲中国风向标国际总裁张俊闲中国风向标国际互联网创始人权誉人形像人张俊闲女43岁中国开封著名中国女诗人禁止侵权张俊闲中文化风向标国际张俊闲中文化风向标国际总裁张俊闲中文化风向标国际互联网创始人权誉人形像人禁止侵权冒诈转载儿子殷鹏云中文化风向标国际总裁殷鹏云男19岁中国开封殷鹏云中文化风向标国际互联网创办权项人权誉人形像人禁止侵权冒诈转载收起全文d,2020年05月18日 21:58
6740,邯郸网络广播电视台,赵立坚五问美国谁是真正威胁针对美政客近期宣扬中国威胁论外交部发言人赵立坚4月15日说英语有句俗话叫拿着锤子的人看什么都像钉子美国企图永远维持世界霸权主导国际规则因此看谁都像挑战威胁都像钉子我想问问美方究竟是谁军费世界第一海外军事基地最多是谁建国240多年历史上只有16年没有打过仗是谁频频派军舰军机到处耀武扬威是谁打着民主人权的幌子到处搞渗透破坏颜色革命和政权更迭又是谁到处拉帮结伙不择手段地打压别国新华网L新华网的微博视频收起全文d,04月15日 22:01
2718,嘉辉cn,美国的这些法案有什么用要制裁某个中国或者特区官员直接制裁得了我们人大也搞个美国人权法案试试,2020年11月28日 23:07
2007,北京顺义牛栏山,black敢于担当2037中国第一冤假错案是2岁幼儿宋梓萱维权案案由银行大行长法院大法官俩夫妇追求个人利益一纸将出生两岁孤儿告上法庭对2岁宋梓萱尊严人权打击有多大伤害有多深希望安徽省宣城市检察院检察官齐红认真负责此案依法监督让一个无辜幼儿宋梓萱尊严人权受到法律保护,2020年09月25日 23:05
1100,邱瑶芳春芳,感动中国转她向世界说出真实的香港伍淑清香港企业家修例风波发生以来她严辞阻止乱港分子发起的学生罢课成为乱港分子的眼中钉肉中刺他们放言要声讨抵制伍淑清及美心集团2019年9月伍淑清现身联合国人权理事会例会向世界说出真实的香港致敬感动中国2019年度,2020年05月20日 22:44
1291,披着红头巾,法治观察在线A坚持正义陈春薷实名举报坚决走到依法治国不是空谈司法公正在中国还有一段路要走以鹰潭原市委书记叶春原公安局长周天保流氓候和平为首的黑恶势力滥用公权力公然对抗国家法律践踏人权和宪法的尊严以莫须有罪名侵犯人权制造冤假错案,2020年06月16日 23:08
1075,双辞yy,中西文化了上成了电影鉴赏课老师之前让我们看2012完全没带脑子看就当作是轻松的作业之后经过老师的分析其实是可以从电影里了解到西方文化中的一些stereotypes同样是科幻片拯救地球的主题今晚又看了中国自己拍的流浪地球发现一些不同之处值得反思2012中拯救计划是保密的,2020年05月17日 23:12
2870,用户5693892018,每日一善自由平等公正法治是对美好社会的生动表述也是从社会层面对社会主义核心价值观基本理念的凝练它反映了中国特色社会主义的基本属性是我们党矢志不渝长期实践的核心价值理念自由是指人的意志自由存在和发展的自由是人类社会的美好向往也是马克思主义追求的社会价值目标平等指的是公民在法律面前的一律平等其价值取向是不断实现实质平等它要求尊重和保障人权人人依法享有平等参与平等发展的权利公正即社会公平和正义它以人的解放人的自由平等权利的获得为前提是国家社会应然的根本价值理念法治是治国理政的基本方式依法治国是社会主义民主政治的基本要求它通过法制建设来维护和保障公民的根本利益是实现自由平等公平正义的制度保证收起全文d,2020年12月11日 23:57
2774,东海鲸鲵白昼游,西方媒体的傲慢和自以为是让他们根本打不到中国的痛点因为他们固步自封地保有着对中国的刻板印象根本不了解中国就西方自己那个烂摊子喷中国基本人权喷少数民族生存环境喷新冠怎么可能喷赢要喷就该喷中国女性和儿童的生存环境啊那不是一喷一个准喷的人哑口无言,2020年12月03日 23:54
7037,联商网,优衣库创始人柳井正回应新疆棉事件我们正在做能做的事情对于其他不予置评近日优衣库创始人柳井正说我们在监视全部的工厂和棉花的生产一旦发现问题就会与对方停止合作除此之外与其说是人权问题更贴近政治问题人权是非常重要的事情作为企业我们正在做我们能做的事情对于其他事情不予置评当记者问道如何看待不使用新疆棉的外资企业被中国消费者抵制时柳井正表示该问题本身带有政治色彩我们保持中立态度此外他还表示优衣库在日本国内和中国市场目前发展形势较好虽然营业额有微弱的减少但利润额有增长今后也会将发展重心放在亚洲争取成为亚洲第一收起全文d,04月15日 09:15
2039,博弈论者,外交部正告美方不要轻举妄动中美之间的较量天平正在逐步平衡之前美国对中国有绝对的压力但是经过最近几年的贸易战香港牌台湾牌科技牌再加上今年的新冠疫情美国并没有想象中那么不可一世美国也有软肋1过去几十年美国一直是全球道德高地他利用民主言论自由人权打压其它跟他价值观不一样的文明之前这一套确实管用至少4年前你要是在微博质疑美国这套价值观肯定会有很多人攻击你狭隘但是最近这4年美国暴露了他本来的面目双标无赖霸道别说这是特靠谱政府的原因特靠谱不也是一半美国人选的吗说明这就是大部分美国人的本性自私双标虚伪反智霸道2这次疫情让美债雪上加霜本来应该加息收割全世界的结果疫情不得不0利率不得不几万亿国债救市要说最缺钱的政府我认为是美国最大的债务国我不否认美国能印钞票但是印多了也影响美元信誉再说这些债务总有要还的时候吧一旦利息超过GDP的时候美国怎么办3强大的军事是权利的保证但是再强大的军事也需要经济支撑要不然美国也不会战略收缩从中东和阿富汗撤军4美国的选举制度受到质疑以前美国选举模式是全世界的标杆事实证明这种模式也容易选出民粹总统和疯子总统美国当下已经被民粹绑架选副总统和大法官都需要女性移民有色人种支持同性恋这种叠buff的标签5美国已经没有多少盟友了别扯价值观和历史美国已经没钱养这些盟友了做美国盟友是需要你给它好处的而不是你找它要钱像澳大利亚和中国台湾这种傻瓜全世界不多中国已成欧盟最大贸易国在钱的面前谁也别装可能很多人说我无知也许我无知难道菲律宾总统韩国总统安倍和默克尔也无知吗甚至美国的比尔盖茨华尔街大佬们也无知吗他们都知道不能在中美之间选边站只能左右摇摆两边都得罪不起当然中国也有各种各样的问题短期跟美国之间有差距但是这种竞争的天平已经开始有利于中国收起全文d,2020年09月28日 21:45
6482,口嗨大师666,哪天中国发生黑人零元购或者西方反华国家拿中国欺压黑人人权作文章皆是你们移民局这帮带路党引起的,04月14日 21:41
1736,全民公di,中国大陆的男女太幸福多了要是国谈何地位人权奋斗没意义可以偷懒国家很多不过可以潇洒没几个长久得过中国还是发展中国家被说发达国家要是更厉害岂不是不败之地我在女人其实该享受这些待遇我不是小气的人可是我就是不甘凭什么要我们这些还不是偏离本心的埋单你们的无耻与愚蠢收起全文d,2020年08月27日 23:50
3441,读书思考看世界,其实谁都知道今天中国不仅工农没有结社谈判的自由资本在连产权法都难产的情况下又有何自由可言但是低人权优势的确使全球化中中国的竞争势不可挡它既迫使福利国家降低福利水平也迫使自由国家重树贸易壁垒还使得不发达国家在吸纳资金获得资源等方面面临更大困难2大兴安岭地区漠河县收起全文d,01月31日 21:48
2976,什么代号呢,人权在中国就是个笑话,2020年12月19日 20:21
2941,胡芳芳LucyHu,是谁在坚持神化美国美国控制疫情比中国容易美国防疫尊重人权自由美国动用直升机送新冠患者去最好的医院疫情暴发以来崇美言论屡见不鲜然而人们看到的真相是美国新冠肺炎超1665万例有美国居民去做检测被以不符合条件拒绝美媒近日仍称美国正处于新冠地狱中,2020年12月16日 22:25
6377,不想改名字啊啊啊啊啊啊啊,美国警察呢环保组织呢人权组织呢合着全世界光给中国定规矩呢,04月13日 09:02
4158,白水青菜日子长,英记者乱造假新闻德学者胡编研究报告对新疆的歪操作底牌被美国人说漏了一系列打着人权幌子的恶劣操作损害的是新疆的民生真正的矛头所指则是中国的繁荣和稳定O网页链接,03月28日 23:51
6595,中医妇儿-林波,中国也可以搞个问卷调查嘛按照国外的套路看看民意是否支持对日本进行核打击这是完全合法合规符合西方的人权操纵规则的,04月14日 13:30
6445,心潮勇动,据国内媒体4月14日报道日前英国作家政治和国际关系分析人士汤姆福迪撰文指出中国人权研究会发布的涉美人权文章基于事实揭露了美国打着人权的幌子发动战争的事实他认为美国才是真正威胁世界的坏家伙罪魁祸首福迪在文中表示中国人权研究会发表的文章揭露了美国打着人道主义干涉旗号对外动武的恶行在现代世界美国将人权作为工具实现自己的外交政策这是一种自我描述的例外主义美国试O网页链接2九江彭泽县收起全文d,04月14日 23:03
4039,小任性ing菇凉,我是一个土生土长的新疆姑凉这辈子也没有离开过也不打算离开新疆从来不觉得我生长的地方很完美但却是我最爱的地方实在无法把我们安定富足的生活和这些所谓的人权主义者口中的水深火热的生活联系到一起我反而更感谢我的祖国感谢他的日益强大让我们在这片被他人觊觎的土地上更好的生活新疆我爱你中国我爱你2昌吉市收起全文d,03月19日 23:47
7677,美国人权一瞥,现在性器官的颜色Ⅱ中国文一歌中国专栏_都市头条传播正能量因你精彩编辑人权爱情家庭世界诗歌选现在性器官的颜色Ⅱ中国文一歌中国专栏_都市头条传播正能量因你精彩O网页链接,05月17日 17:01
3296,岩神帝姬,只能说存在即合理吧总会有一小撮群体为了生存而从事道德法律边缘的职业代孕绝不会合法化但也绝不会消失女人的子宫不是商品难道心肝脾肺肾就是了吗如果一个人自己都愿意以身体为代价进行交易那么这种现象就无法禁止只会换种渠道交易让人们更难发现至于郑爽引起众怒我觉得能谴责的点只有代孕本身如果是她自己怀胎7个月想打胎别人就不会说什么了孩子还在肚子里和脱离母体完全是两个概念如果不能尽到做父母的义务那么这个孩子的确就不应该降临在这个世界上既害了孩子又影响了父母接下来的大半辈子这就又说到了关于胎儿有没有人权的问题上了这很难界定在有的国家胎儿享有生存的权利孕者禁止打胎但在中国打胎的何止是千千万啊这样看来在中国胎儿没有人权不算独立的生命体真可悲所以郑爽选择去美国代孕钻了法律的空子可是只要这个世界上的所有国家不实施统一的法律就永远有空子可钻这个是真的没办法至少目前和未来相当长的一段时间内我们毫无办法我真的很矛盾对于代孕我一方面理解一方面又深恶痛绝一方面希望它从此消失一方面又希望通过代孕给一些底层女性一条活路给那些自身子宫有问题但又想做母亲的女性一个选择我们能做的只有管好自己不去找代孕不去做代孕向周围的女性普及代孕的危害而谴责永远只能是谴责制裁还远远不够至少现在是收起全文d,01月19日 23:27
1174,叶绿可待万年佳,关于人权一般认为包括生命权和追求幸福的权利等生命权不光包括活着的权利还包括在极端情况下放弃生命的权利追求幸福的权利其实也可以同样类比说白了人权的核心不在于活的好坏而在于对他人的不干涉或者说是尊重不以个人立场去褒贬他人这是中国大多数人都很容易弄错的,2020年05月28日 23:57
5631,安洁西_,联合国联合国妇女署联合国人权高专办我的赔偿金呢负责任的补救人权人道落实钱是重点我不是在外星球联合国和中国政府也不是不会转账数数联合国更不是缺胳膊的蜗牛我也不是不知道拖延等于致命以牙还牙的人,04月10日 07:33
6323,西伯利亚樱桃酱,美国支持日本福岛污水入海决定cnm一个说决定就决定一个说支持就支持真以为美日是世界中心你们自己怎么不喝干净在针对中国的事情上道貌岸然一口一个人权不看看自己干的那些恶心的勾当直接弃人类命运共同体于不顾人类最丑恶的一面简直在某些国家身上展现地淋漓尽致,04月13日 11:50
